match_id,period_1,period_2,period_3,period_4,period_5,current_period_start_timestamp,total_duration_raw,duration_seconds,formatted_seconds,duration_minutes,formatted_minutes,duration_hours,formatted_hours
12151261,2584.0,4240.0,0.0,0.0,0.0,1710253566.0,6824.0,6824.0,0 days 01:53:44,6824.0,4 days 17:44:00,6824.0,284 days 08:00:00
12151263,2774.0,3835.0,0.0,0.0,0.0,1710278267.0,6609.0,6609.0,0 days 01:50:09,6609.0,4 days 14:09:00,6609.0,275 days 09:00:00
12151264,3137.0,3492.0,0.0,0.0,0.0,1710265611.0,6629.0,6629.0,0 days 01:50:29,6629.0,4 days 14:29:00,6629.0,276 days 05:00:00
12151266,3236.0,1965.0,3525.0,0.0,0.0,1710289722.0,8726.0,8726.0,0 days 02:25:26,8726.0,6 days 01:26:00,8726.0,363 days 14:00:00
12151267,2095.0,1342.0,0.0,0.0,0.0,1710272200.0,3437.0,3437.0,0 days 00:57:17,3437.0,2 days 09:17:00,3437.0,143 days 05:00:00
12151291,2411.0,3541.0,5208.0,0.0,0.0,1710254101.0,11160.0,11160.0,0 days 03:06:00,11160.0,7 days 18:00:00,11160.0,465 days 00:00:00
12151301,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0 days 00:00:00,0.0,0 days 00:00:00,0.0,0 days 00:00:00
12151303,2193.0,5656.0,0.0,0.0,0.0,1710248976.0,7849.0,7849.0,0 days 02:10:49,7849.0,5 days 10:49:00,7849.0,327 days 01:00:00
12151307,3959.0,1758.0,0.0,0.0,0.0,1710264478.0,5717.0,5717.0,0 days 01:35:17,5717.0,3 days 23:17:00,5717.0,238 days 05:00:00
12151311,2451.0,3039.0,4372.0,0.0,0.0,1710255095.0,9862.0,9862.0,0 days 02:44:22,9862.0,6 days 20:22:00,9862.0,410 days 22:00:00
12151312,2383.0,1923.0,0.0,0.0,0.0,1710257359.0,4306.0,4306.0,0 days 01:11:46,4306.0,2 days 23:46:00,4306.0,179 days 10:00:00
12151328,4762.0,3662.0,3245.0,0.0,0.0,1710363730.0,11669.0,11669.0,0 days 03:14:29,11669.0,8 days 02:29:00,11669.0,486 days 05:00:00
12151329,1880.0,2824.0,2370.0,0.0,0.0,1710357099.0,7074.0,7074.0,0 days 01:57:54,7074.0,4 days 21:54:00,7074.0,294 days 18:00:00
12151330,3151.0,2934.0,0.0,0.0,0.0,1710339178.0,6085.0,6085.0,0 days 01:41:25,6085.0,4 days 05:25:00,6085.0,253 days 13:00:00
12151344,2625.0,2625.0,0.0,0.0,0.0,1710356458.0,5250.0,5250.0,0 days 01:27:30,5250.0,3 days 15:30:00,5250.0,218 days 18:00:00
12151359,3280.0,3346.0,0.0,0.0,0.0,1710259910.0,6626.0,6626.0,0 days 01:50:26,6626.0,4 days 14:26:00,6626.0,276 days 02:00:00
12151360,1763.0,1638.0,0.0,0.0,0.0,1710254354.0,3401.0,3401.0,0 days 00:56:41,3401.0,2 days 08:41:00,3401.0,141 days 17:00:00
12151361,2422.0,3878.0,770.0,0.0,0.0,1710259146.0,7070.0,7070.0,0 days 01:57:50,7070.0,4 days 21:50:00,7070.0,294 days 14:00:00
12151362,1954.0,3464.0,0.0,0.0,0.0,1710270375.0,5418.0,5418.0,0 days 01:30:18,5418.0,3 days 18:18:00,5418.0,225 days 18:00:00
12151363,1450.0,1468.0,0.0,0.0,0.0,1710277671.0,2918.0,2918.0,0 days 00:48:38,2918.0,2 days 00:38:00,2918.0,121 days 14:00:00
12151364,2840.0,2509.0,0.0,0.0,0.0,1710272673.0,5349.0,5349.0,0 days 01:29:09,5349.0,3 days 17:09:00,5349.0,222 days 21:00:00
12151365,2356.0,2964.0,0.0,0.0,0.0,1710272709.0,5320.0,5320.0,0 days 01:28:40,5320.0,3 days 16:40:00,5320.0,221 days 16:00:00
12151368,2683.0,3466.0,1142.0,0.0,0.0,1710267910.0,7291.0,7291.0,0 days 02:01:31,7291.0,5 days 01:31:00,7291.0,303 days 19:00:00
