match_id,period_1,period_2,period_3,period_4,period_5,current_period_start_timestamp,total_duration,formatted_duration
12056239,2734,4617,0,0,0,1707555272.0,7351,0 days 02:02:31
12056307,1422,3756,0,0,0,1707554072.0,5178,0 days 01:26:18
12056390,3829,1505,3901,0,0,1707567262.0,9235,0 days 02:33:55
12056393,5296,7198,5340,0,0,1707571561.0,17834,0 days 04:57:14
12056394,2756,2754,4078,0,0,1707558659.0,9588,0 days 02:39:48
12056494,0,0,0,0,0,,0,0 days 00:00:00
12056498,2985,2423,7512,0,0,1707564538.0,12920,0 days 03:35:20
12056503,2123,3452,0,0,0,1707563558.0,5575,0 days 01:32:55
12056521,1612,1745,0,0,0,1707561418.0,3357,0 days 00:55:57
12056522,1649,1636,0,0,0,1707561307.0,3285,0 days 00:54:45
12056525,1783,5549,0,0,0,1707565468.0,7332,0 days 02:02:12
12056538,2956,2458,0,0,0,1707566784.0,5414,0 days 01:30:14
12056563,2540,2816,0,0,0,1707494820.0,5356,0 days 01:29:16
12056577,4176,4929,0,0,0,1707565844.0,9105,0 days 02:31:45
12056615,1589,3022,0,0,0,1707569150.0,4611,0 days 01:16:51
12056624,2037,2411,0,0,0,1707561826.0,4448,0 days 01:14:08
12056746,3379,2257,2541,0,0,1707565423.0,8177,0 days 02:16:17
12056747,1624,4434,0,0,0,1707570252.0,6058,0 days 01:40:58
12056784,2716,3444,0,0,0,1707566541.0,6160,0 days 01:42:40
12056796,2919,2318,2577,0,0,1707569187.0,7814,0 days 02:10:14
12056823,4198,3494,3410,0,0,1707578382.0,11102,0 days 03:05:02
12056840,2833,3775,0,0,0,1707562609.0,6608,0 days 01:50:08
12056841,1338,2647,0,0,0,1707563092.0,3985,0 days 01:06:25
12056844,2999,2858,0,0,0,1707575089.0,5857,0 days 01:37:37
12056845,2238,1652,0,0,0,1707576169.0,3890,0 days 01:04:50
12056846,2319,1785,0,0,0,1707569369.0,4104,0 days 01:08:24
12056847,3238,2464,0,0,0,1707570494.0,5702,0 days 01:35:02
12056893,3238,3404,0,0,0,1707570287.0,6642,0 days 01:50:42
12056915,2193,2258,4486,0,0,1707577775.0,8937,0 days 02:28:57
12058095,0,0,0,0,0,,0,0 days 00:00:00
12058097,0,0,0,0,0,,0,0 days 00:00:00
12058236,0,0,0,0,0,,0,0 days 00:00:00
12058286,0,0,0,0,0,,0,0 days 00:00:00
12049570,2508,3000,0,0,0,1708017635.0,5508,0 days 01:31:48
12049577,1997,3121,0,0,0,1708110847.0,5118,0 days 01:25:18
12049578,2153,3682,2407,0,0,1708027868.0,8242,0 days 02:17:22
12049580,3477,4532,0,0,0,1708130766.0,8009,0 days 02:13:29
12049581,2400,2603,0,0,0,1708103904.0,5003,0 days 01:23:23
12049582,3538,2314,0,0,0,1708123174.0,5852,0 days 01:37:32
12049583,2038,4283,0,0,0,1708035156.0,6321,0 days 01:45:21
12049585,2785,3053,0,0,0,1708043486.0,5838,0 days 01:37:18
12049612,2988,6112,0,0,0,1708110049.0,9100,0 days 02:31:40
12049616,3168,3646,0,0,0,1708052274.0,6814,0 days 01:53:34
12049617,2695,3235,2166,0,0,1708045829.0,8096,0 days 02:14:56
12049619,2264,1832,0,0,0,1708118255.0,4096,0 days 01:08:16
12049621,3498,3016,3969,0,0,1708034513.0,10483,0 days 02:54:43
12049623,2533,3531,0,0,0,1708023085.0,6064,0 days 01:41:04
12049625,2198,2481,0,0,0,1708127162.0,4679,0 days 01:17:59
12049631,1958,2540,0,0,0,1708134118.0,4498,0 days 01:14:58
12049634,2723,2193,2305,0,0,1708090262.0,7221,0 days 02:00:21
12049635,3174,495,0,0,0,1708119759.0,3669,0 days 01:01:09
12049644,1941,2329,2505,0,0,1708026710.0,6775,0 days 01:52:55
12049646,1790,2158,0,0,0,1708032314.0,3948,0 days 01:05:48
12049647,3503,2705,2693,0,0,1708100259.0,8901,0 days 02:28:21
12049648,2848,3222,2983,0,0,1708012236.0,9053,0 days 02:30:53
12049649,2303,1675,1787,0,0,1708002885.0,5765,0 days 01:36:05
12049653,3221,2989,0,0,0,1708112060.0,6210,0 days 01:43:30
12049682,2177,3305,0,0,0,1708094591.0,5482,0 days 01:31:22
12049684,0,0,0,0,0,1708090994.0,0,0 days 00:00:00
12049685,2947,2706,0,0,0,1708003693.0,5653,0 days 01:34:13
12049686,2840,3381,0,0,0,1708023094.0,6221,0 days 01:43:41
12049687,3094,2553,0,0,0,1708010809.0,5647,0 days 01:34:07
12049688,2597,1875,0,0,0,1708017236.0,4472,0 days 01:14:32
12049710,3005,3612,0,0,0,1708021702.0,6617,0 days 01:50:17
12049713,2778,2596,2627,0,0,1708110579.0,8001,0 days 02:13:21
12049714,1410,1835,0,0,0,1708013099.0,3245,0 days 00:54:05
12049721,1996,2460,0,0,0,1708086621.0,4456,0 days 01:14:16
12049724,1850,2487,0,0,0,1708099741.0,4337,0 days 01:12:17
12049725,2529,3555,2986,0,0,1708120402.0,9070,0 days 02:31:10
12049727,3143,3228,0,0,0,1708005342.0,6371,0 days 01:46:11
12049733,2639,3438,5112,0,0,1708086164.0,11189,0 days 03:06:29
12049734,2484,3832,2729,0,0,1708180820.0,9045,0 days 02:30:45
12049735,1745,2132,635,0,0,1708018199.0,4512,0 days 01:15:12
12049739,3846,3624,1008,0,0,1708109268.0,8478,0 days 02:21:18
12049740,1950,2521,0,0,0,1708002616.0,4471,0 days 01:14:31
12049741,1194,1799,0,0,0,1708014796.0,2993,0 days 00:49:53
12049742,1915,1562,693,0,0,1708010241.0,4170,0 days 01:09:30
12049743,3409,3736,0,0,0,1708003547.0,7145,0 days 01:59:05
12049745,2526,2198,1939,0,0,1708097162.0,6663,0 days 01:51:03
12049746,2721,2172,0,0,0,1708170889.0,4893,0 days 01:21:33
12049747,0,0,0,0,0,1708093439.0,0,0 days 00:00:00
12049749,2336,2112,0,0,0,1708010557.0,4448,0 days 01:14:08
12049750,2698,1828,0,0,0,1708088173.0,4526,0 days 01:15:26
12049751,1784,1620,646,0,0,1708108621.0,4050,0 days 01:07:30
12049776,2612,5939,0,0,0,1708093380.0,8551,0 days 02:22:31
12049793,2635,2180,0,0,0,1708086478.0,4815,0 days 01:20:15
12049798,4769,2690,0,0,0,1708100649.0,7459,0 days 02:04:19
12049803,1946,4405,0,0,0,1708003286.0,6351,0 days 01:45:51
12049806,3525,3532,3239,0,0,1708080032.0,10296,0 days 02:51:36
12049813,3811,3929,4560,0,0,1708073825.0,12300,0 days 03:25:00
12049814,4205,3482,0,0,0,1708178362.0,7687,0 days 02:08:07
12049815,1742,2547,3112,0,0,1708169354.0,7401,0 days 02:03:21
12049816,3799,3289,3350,0,0,1708091512.0,10438,0 days 02:53:58
12063603,1448,2102,0,0,0,1708014758.0,3550,0 days 00:59:10
12063607,2993,3109,0,0,0,1708009169.0,6102,0 days 01:41:42
12063613,1825,2062,0,0,0,1708003564.0,3887,0 days 01:04:47
12064927,4036,3226,3532,0,0,1708009223.0,10794,0 days 02:59:54
12064931,3248,4199,0,0,0,1708004673.0,7447,0 days 02:04:07
12064981,2675,2245,0,0,0,1708004890.0,4920,0 days 01:22:00
12064991,1941,2658,0,0,0,1708084264.0,4599,0 days 01:16:39
12065004,4715,2966,0,0,0,1708087648.0,7681,0 days 02:08:01
12065013,3401,3934,4343,0,0,1708017226.0,11678,0 days 03:14:38
12065958,2191,2757,0,0,0,1708002440.0,4948,0 days 01:22:28
12066017,2552,1972,0,0,0,1708023606.0,4524,0 days 01:15:24
12066148,2959,2558,0,0,0,1708002116.0,5517,0 days 01:31:57
12066809,1921,2907,0,0,0,1708007313.0,4828,0 days 01:20:28
12067229,3171,2999,0,0,0,1708019055.0,6170,0 days 01:42:50
12067464,2874,2979,0,0,0,1708005569.0,5853,0 days 01:37:33
12069117,2600,3154,3941,0,0,1708006481.0,9695,0 days 02:41:35
12069175,2430,3034,1763,0,0,1708012191.0,7227,0 days 02:00:27
12069199,2139,3614,3002,0,0,1708004928.0,8755,0 days 02:25:55
12069266,3571,2909,2823,0,0,1708016375.0,9303,0 days 02:35:03
12069268,2228,2345,1966,0,0,1708014681.0,6539,0 days 01:48:59
12069269,3769,86430,0,0,0,1707931799.0,90199,1 days 01:03:19
12069270,2510,2122,0,0,0,1708012565.0,4632,0 days 01:17:12
12069272,2140,3893,3152,0,0,1708015750.0,9185,0 days 02:33:05
12069301,2323,2299,0,0,0,1708010206.0,4622,0 days 01:17:02
12069348,2875,4765,2694,0,0,1708010077.0,10334,0 days 02:52:14
12069399,2717,2653,2465,0,0,1708005034.0,7835,0 days 02:10:35
12069518,2623,2391,0,0,0,1708005229.0,5014,0 days 01:23:34
12069579,2574,3418,0,0,0,1708005416.0,5992,0 days 01:39:52
12069580,2156,64373,0,0,0,1708017671.0,66529,0 days 18:28:49
12069697,4425,3089,0,0,0,1708012652.0,7514,0 days 02:05:14
12069793,2449,3135,4260,0,0,1708007882.0,9844,0 days 02:44:04
12069794,3596,2734,0,0,0,1708080143.0,6330,0 days 01:45:30
12069800,2879,2541,0,0,0,1708005425.0,5420,0 days 01:30:20
12069872,2999,1803,0,0,0,1708079384.0,4802,0 days 01:20:02
12069886,3514,2062,0,0,0,1708008673.0,5576,0 days 01:32:56
12069887,3177,3833,2691,0,0,1708015578.0,9701,0 days 02:41:41
12069916,4001,5590,3379,0,0,1708012876.0,12970,0 days 03:36:10
12069921,1670,2191,0,0,0,1708009686.0,3861,0 days 01:04:21
12069954,2285,2065,0,0,0,1708012707.0,4350,0 days 01:12:30
12069974,3027,1825,0,0,0,1708007865.0,4852,0 days 01:20:52
12069982,4103,1755,0,0,0,1708005482.0,5858,0 days 01:37:38
12069983,3582,2549,0,0,0,1708080008.0,6131,0 days 01:42:11
12069987,1716,2199,0,0,0,1708017115.0,3915,0 days 01:05:15
12070026,3491,2046,2210,0,0,1708019312.0,7747,0 days 02:09:07
12070034,3622,2203,3250,0,0,1708008204.0,9075,0 days 02:31:15
12070046,2529,4742,0,0,0,1708012199.0,7271,0 days 02:01:11
12070062,961,1649,0,0,0,1708044094.0,2610,0 days 00:43:30
12070122,2512,2464,0,0,0,1708012321.0,4976,0 days 01:22:56
12070257,2960,3383,0,0,0,1708012490.0,6343,0 days 01:45:43
12070258,2371,1262,0,0,0,1708017168.0,3633,0 days 01:00:33
12070262,2422,2184,2295,0,0,1708052532.0,6901,0 days 01:55:01
12070287,2772,2184,2499,0,0,1708014348.0,7455,0 days 02:04:15
12070302,2057,4488,0,0,0,1708024983.0,6545,0 days 01:49:05
12070304,2934,3353,0,0,0,1708020898.0,6287,0 days 01:44:47
12070305,0,0,0,0,0,1708011928.0,0,0 days 00:00:00
12070306,1996,3764,0,0,0,1708014870.0,5760,0 days 01:36:00
12070315,2927,2948,0,0,0,1708019917.0,5875,0 days 01:37:55
12070362,3412,2166,1836,0,0,1708035163.0,7414,0 days 02:03:34
12070802,2487,1902,0,0,0,1708040331.0,4389,0 days 01:13:09
12070812,3823,5145,0,0,0,1708061656.0,8968,0 days 02:29:28
12070913,2487,3763,0,0,0,1708051839.0,6250,0 days 01:44:10
