match_id,point_description,is_aces,total_aces,total_points,ace_ratio
12002040,1,1,3,82,0.036585365853658534
12002040,1,1,3,82,0.036585365853658534
12002040,1,1,3,82,0.036585365853658534
12002041,1,1,3,121,0.024793388429752067
12002041,1,1,3,121,0.024793388429752067
12002041,1,1,3,121,0.024793388429752067
12002042,1,1,7,178,0.03932584269662921
12002042,1,1,7,178,0.03932584269662921
12002042,1,1,7,178,0.03932584269662921
12002042,1,1,7,178,0.03932584269662921
12002042,1,1,7,178,0.03932584269662921
12002042,1,1,7,178,0.03932584269662921
12002042,1,1,7,178,0.03932584269662921
12002043,1,1,3,99,0.030303030303030304
12002043,1,1,3,99,0.030303030303030304
12002043,1,1,3,99,0.030303030303030304
12002044,1,1,1,147,0.006802721088435374
12002048,1,1,6,85,0.07058823529411765
12002048,1,1,6,85,0.07058823529411765
12002048,1,1,6,85,0.07058823529411765
12002048,1,1,6,85,0.07058823529411765
12002048,1,1,6,85,0.07058823529411765
12002048,1,1,6,85,0.07058823529411765
12002049,1,1,11,213,0.051643192488262914
12002049,1,1,11,213,0.051643192488262914
12002049,1,1,11,213,0.051643192488262914
12002049,1,1,11,213,0.051643192488262914
12002049,1,1,11,213,0.051643192488262914
12002049,1,1,11,213,0.051643192488262914
12002049,1,1,11,213,0.051643192488262914
12002049,1,1,11,213,0.051643192488262914
12002049,1,1,11,213,0.051643192488262914
12002049,1,1,11,213,0.051643192488262914
12002049,1,1,11,213,0.051643192488262914
12002050,1,1,4,78,0.05128205128205128
12002050,1,1,4,78,0.05128205128205128
12002050,1,1,4,78,0.05128205128205128
12002050,1,1,4,78,0.05128205128205128
12002051,1,1,4,163,0.024539877300613498
12002051,1,1,4,163,0.024539877300613498
12002051,1,1,4,163,0.024539877300613498
12002051,1,1,4,163,0.024539877300613498
12002052,1,1,8,110,0.07272727272727272
12002052,1,1,8,110,0.07272727272727272
12002052,1,1,8,110,0.07272727272727272
12002052,1,1,8,110,0.07272727272727272
12002052,1,1,8,110,0.07272727272727272
12002052,1,1,8,110,0.07272727272727272
12002052,1,1,8,110,0.07272727272727272
12002052,1,1,8,110,0.07272727272727272
12002053,1,1,8,82,0.0975609756097561
12002053,1,1,8,82,0.0975609756097561
12002053,1,1,8,82,0.0975609756097561
12002053,1,1,8,82,0.0975609756097561
12002053,1,1,8,82,0.0975609756097561
12002053,1,1,8,82,0.0975609756097561
12002053,1,1,8,82,0.0975609756097561
12002053,1,1,8,82,0.0975609756097561
12002055,1,1,14,168,0.08333333333333333
12002055,1,1,14,168,0.08333333333333333
12002055,1,1,14,168,0.08333333333333333
12002055,1,1,14,168,0.08333333333333333
12002055,1,1,14,168,0.08333333333333333
12002055,1,1,14,168,0.08333333333333333
12002055,1,1,14,168,0.08333333333333333
12002055,1,1,14,168,0.08333333333333333
12002055,1,1,14,168,0.08333333333333333
12002055,1,1,14,168,0.08333333333333333
12002055,1,1,14,168,0.08333333333333333
12002055,1,1,14,168,0.08333333333333333
12002055,1,1,14,168,0.08333333333333333
12002055,1,1,14,168,0.08333333333333333
12002057,1,1,1,80,0.0125
12002058,1,1,2,149,0.013422818791946308
12002058,1,1,2,149,0.013422818791946308
12002060,1,1,4,162,0.024691358024691357
12002060,1,1,4,162,0.024691358024691357
12002060,1,1,4,162,0.024691358024691357
12002060,1,1,4,162,0.024691358024691357
12002064,1,1,5,80,0.0625
12002064,1,1,5,80,0.0625
12002064,1,1,5,80,0.0625
12002064,1,1,5,80,0.0625
12002064,1,1,5,80,0.0625
12002065,1,1,3,102,0.029411764705882353
12002065,1,1,3,102,0.029411764705882353
12002065,1,1,3,102,0.029411764705882353
12002068,1,1,9,124,0.07258064516129033
12002068,1,1,9,124,0.07258064516129033
12002068,1,1,9,124,0.07258064516129033
12002068,1,1,9,124,0.07258064516129033
12002068,1,1,9,124,0.07258064516129033
12002068,1,1,9,124,0.07258064516129033
12002068,1,1,9,124,0.07258064516129033
12002068,1,1,9,124,0.07258064516129033
12002068,1,1,9,124,0.07258064516129033
12010829,1,1,6,173,0.03468208092485549
12010829,1,1,6,173,0.03468208092485549
12010829,1,1,6,173,0.03468208092485549
12010829,1,1,6,173,0.03468208092485549
12010829,1,1,6,173,0.03468208092485549
12010829,1,1,6,173,0.03468208092485549
12010830,1,1,4,137,0.029197080291970802
12010830,1,1,4,137,0.029197080291970802
12010830,1,1,4,137,0.029197080291970802
12010830,1,1,4,137,0.029197080291970802
12011301,1,1,13,167,0.07784431137724551
12011301,1,1,13,167,0.07784431137724551
12011301,1,1,13,167,0.07784431137724551
12011301,1,1,13,167,0.07784431137724551
12011301,1,1,13,167,0.07784431137724551
12011301,1,1,13,167,0.07784431137724551
12011301,1,1,13,167,0.07784431137724551
12011301,1,1,13,167,0.07784431137724551
12011301,1,1,13,167,0.07784431137724551
12011301,1,1,13,167,0.07784431137724551
12011301,1,1,13,167,0.07784431137724551
12011301,1,1,13,167,0.07784431137724551
12011301,1,1,13,167,0.07784431137724551
12014547,1,1,7,157,0.044585987261146494
12014547,1,1,7,157,0.044585987261146494
12014547,1,1,7,157,0.044585987261146494
12014547,1,1,7,157,0.044585987261146494
